Day #,Julian Month,Julian Day,Roman Month,Roman Number,Roman Reference,,Color,Secondary Color,Notes,Saint ID,Secondary Saint ID,Third Color Name,Third Saint ID,Fourth Color Name,Fourth Saint ID,Saint (Main hand),Rank (Main hand),Second Hand,Second Hand Rank,Third hand,Third hand rank,Additional Hand?,Additional Hand Rank?,notes,Order?,,Readings list
273,September,30,October,2,Kalends,,,,,,,,,,,Ieromini presbyteri,9 lectio,,,,,,,,,,Ieromini
274,October,1,October,0,Kalends,,,,,,,,,,,Remigii episcopi. 3 lectio. Germani et mendasti episcoporum commemoratio.,,,,,,,,,,,
275,October,2,October,6,Nones,,,,,,,,,,,Leodagarii episcopi.,Commemoratio,,,,,,,,,,
276,October,3,October,5,Nones,,blank,,,,,,,,,,,,,,,,,,,,
277,October,4,October,4,Nones,,,,,,,,,,,Sancti francisci confessoris,9 lectio,,,,,,,,OP,,Francisci
278,October,5,October,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
279,October,6,October,2,Nones,,blank,,,,,,,,,,,,,,,,,,,,
280,October,7,October,0,Nones,,,,,,,,,,,Marci pape. 3 lectio. Marcelli Apulei Sergi et Bachi commemoratio.,,,,,,,,,,,
281,October,8,October,8,Ides,,blank,,,,,,,,,,,,,,,,,,,,
282,October,9,October,7,Ides,,,,,,,,,,,Dionisii rustici et euletherii,9 lectio,,,,,,,,,,Dioynsii cum sociiis
283,October,10,October,6,Ides,,,,,,,,,,,Anniversarium omnium fratrum ordinis,9 lectio,,,,,,,,OP,,
284,October,11,October,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
285,October,12,October,4,Ides,,blank,,,,,,,,,,,,,,,,,,,,
286,October,13,October,3,Ides,,blank,,,,,,,,,,,,,,,,,,,,
287,October,14,October,2,Ides,,,,,,,,,,,Calixti pape et martyris,Commemoratio,,,,,,,,,,
288,October,15,October,0,Ides,,blank,,,,,,,,,,,,,,,,,,,,
289,October,16,November,17,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
290,October,17,November,16,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
291,October,18,November,15,Kalends,,,,,,,,,,,Luce evangeliste,Semiduplex,,,,,,,,,,Luce
292,October,19,November,14,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
293,October,20,November,13,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
294,October,21,November,12,Kalends,,,,,,,,,,,Undecim milium virginum et martyrum,Commemoratio,,,,,,,,,,
295,October,22,November,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
296,October,23,November,10,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
297,October,24,November,9,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
298,October,25,November,8,Kalends,,,,,,,,,,,Crispini et crispiani martyrum,Commemoratio,,,,,,,,,,
299,October,26,November,7,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
300,October,27,November,6,Kalends,,,,,,,,,,,Vigilia.,,,,,,,,,,,In vigilia symonis et iude
301,October,28,November,5,Kalends,,,,,,,,,,,Symonis et iude apostolorum,Semiduplex,,,,,,,,,,In die
302,October,29,November,4,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
303,October,30,November,3,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
304,October,31,November,2,Kalends,,,,,,,,,,,Quintini martyrum. Vigilia. Commemoratio.,,,,,,,,,,,Vigilia omnium sanctorum
305,November,1,November,0,Kalends,,,,,,,,,,,Festivitas omnium sanctorum. Totum duplex.,,,,,,,,,,,In die
306,November,2,November,4,Nones,,,,,,,,,,,Commemoratio omnium defunctorum. IX lectio.,,,,,,,,,,,Pro defunctis
307,November,3,November,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
308,November,4,November,2,Nones,,blank,,,,,,,,,,,,,,,,,,,,
309,November,5,November,0,Nones,,blank,,,,,,,,,,,,,,,,,,,,
310,November,6,November,8,Ides,,blank,,,,,,,,,,,,,,,,,,,,
311,November,7,November,7,Ides,,blank,,,,,,,,,,,,,,,,,,,,
312,November,8,November,6,Ides,,,,,,,,,,,Quatuor coronatorum. 3 lectio.,,,,,,,,,,,
313,November,9,November,5,Ides,,,,,,,,,,,Teodori martyris. 3 lectio.,,,,,,,,,,,
314,November,10,November,4,Ides,,blank,,,,,,,,,,,,,,,,,,,,
315,November,11,November,3,Ides,,,,,,,,,,,Martini episcopi. 9 lectio. Et menne martyris. Commemoratio.,,,,,,,,,,,Martini
316,November,12,November,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
317,November,13,November,0,Ides,,,,,,,,,,,Britii episcopi et confessoris. Commoratio.,,,,,,,,,,,
318,November,14,December,18,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
319,November,15,December,17,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
320,November,16,December,16,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
321,November,17,December,15,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
322,November,18,December,14,Kalends,,,,,,,,,,,Octava sancti martini. 9 lectio.,,,,,,,,,,,
323,November,19,December,13,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
324,November,20,December,12,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
325,November,21,December,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
326,November,22,December,10,Kalends,,,,,,,,,,,Cecilie virginis et martyris. 9 lectio.,,,,,,,,,,,Cecilie
327,November,23,December,9,Kalends,,,,,,,,,,,Clementis pape et martyris. 9 lectio.,,,,,,,,,,,Clementis
328,November,24,December,8,Kalends,,,,,,,,,,,Grisogoni martyris. Commoratio.,,,,,,,,,,,
329,November,25,December,7,Kalends,,,,,,,,,,,Katerine virginis et martyris. Semiduplex.,,,,,,,,,,,Caterine
330,November,26,December,6,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
331,November,27,December,5,Kalends,,,,,,,,,,,Agricole et vitalis martyris. Commoratio.,,,,,,,,,,,
332,November,28,December,4,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
333,November,29,December,3,Kalends,,,,,,,,,,,Saturini martyris. Vigilia. Commemoratio.,,,,,,,,,,,In vigilia andree
334,November,30,December,2,Kalends,,,,,,,,,,,Andree apostoli. Semiduplex. 9 lectio.,,,,,,,,Andrew is given two different ranks.,,,In die
335,December,1,December,0,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
336,December,2,December,4,Nones,,blank,,,,,,,,,,,,,,,,,,,,
337,December,3,December,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
338,December,4,December,2,Nones,,blank,,,,,,,,,,,,,,,,,,,,
339,December,5,December,0,Nones,,blank,,,,,,,,,,,,,,,,,,,,
340,December,6,December,8,Ides,,,,,,,,,,,Nicholai episcopi et confessoris. Semiduplex.,,,,,,,,,,,Nicholai
341,December,7,December,7,Ides,,,,,,,,,,,Octava sancti andree. Commemoratio.,,,,,,,,,,,
342,December,8,December,6,Ides,,blank,,,,,,,,,,,,,,,,,,,,
343,December,9,December,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
344,December,10,December,4,Ides,,blank,,,,,,,,,,,,,,,,,,,,
345,December,11,December,3,Ides,,,,,,,,,,,Damasi pape et confessoris. Commemoratio.,,,,,,,,,,,
346,December,12,December,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
347,December,13,December,0,Ides,,,,,,,,,,,Lucie virginis. IX lectio.,,,,,,,,,,,Lucie
348,December,14,January,19,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
349,December,15,January,18,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
350,December,16,January,17,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
351,December,17,January,16,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
352,December,18,January,15,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
353,December,19,January,14,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
354,December,20,January,13,Kalends,,,,,,,,,,,Vigilia.,,,,,,,,,,,
355,December,21,January,12,Kalends,,,,,,,,,,,Thome apostoli. Semiduplex.,,,,,,,,,,,
356,December,22,January,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
357,December,23,January,10,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
358,December,24,January,9,Kalends,,,,,,,,,,,Vigilia.,,,,,,,,,,,
359,December,25,January,8,Kalends,,,,,,,,,,,Nativitas domini  nostri ihesu christi. Totum duplex.,,,,,,,,,,,
360,December,26,January,7,Kalends,,,,,,,,,,,Stephani prothomartyris. Totum duplex.,,,,,,,,,,,Stephani
361,December,27,January,6,Kalends,,,,,,,,,,,Iohanis evangeliste. Duplex.,,,,,,,,,,,Iohanis
362,December,28,January,5,Kalends,,,,,,,,,,,Sanctorum innocentium. 9 lectio.,,,,,,,,,,,Innocentium
363,December,29,January,4,Kalends,,,,,,,,,,,Thome archiepiscoporum et martrum. 9 lectio.,,,,,,,,,,,Thome martyris
364,December,30,January,3,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
365,December,31,January,2,Kalends,,,,,,,,,,,Silverstri pape et confessoris. 9 lectio.,,,,,,,,,,,Silvestre
